Distance,Elevation,Speed Limit,Traffic Control
0,9.144,11.176,
30.48,9.144,11.176,
60.96,9.144,11.176,
91.44,9.144,11.176,
121.92,9.144,11.176,
152.4,9.144,11.176,
182.88,9.144,11.176,
213.36,9.144,6.7056,Stop
243.84,9.144,6.7056,
274.32,9.144,6.7056,
304.8,9.144,6.7056,
335.28,9.144,6.7056,
365.76,9.144,6.7056,
396.24,9.144,6.7056,
426.72,9.144,6.7056,
457.2,9.144,6.7056,
487.68,9.144,11.176,Yield
518.16,9.144,11.176,
548.64,9.144,11.176,
579.12,9.144,11.176,
609.6,9.144,11.176,
640.08,9.144,11.176,
670.56,9.144,11.176,
701.04,9.144,11.176,
731.52,9.144,11.176,
762,9.144,11.176,Yield
792.48,9.7536,11.176,
822.96,10.3632,11.176,
853.44,10.9728,11.176,
883.92,11.2776,11.176,
914.4,11.2776,11.176,
944.88,11.8872,11.176,
975.36,12.8016,11.176,
1005.84,13.716,11.176,
1036.32,14.3256,11.176,
1066.8,14.9352,11.176,
1097.28,15.5448,11.176,
1127.76,15.8496,11.176,
1158.24,16.1544,11.176,
1188.72,16.4592,11.176,
1219.2,16.764,11.176,
1249.68,17.0688,11.176,
1280.16,17.3736,11.176,
1310.64,17.6784,11.176,
1341.12,17.9832,11.176,
1371.6,17.9832,11.176,
1402.08,18.288,11.176,
1432.56,17.9832,11.176,
1463.04,17.6784,11.176,
1493.52,17.6784,11.176,
1524,17.6784,11.176,
1554.48,17.6784,11.176,
1584.96,17.9832,11.176,
1615.44,17.9832,11.176,
1645.92,18.288,11.176,
1676.4,18.8976,11.176,
1706.88,19.812,11.176,
1737.36,20.4216,11.176,
1767.84,21.336,11.176,
1798.32,21.9456,11.176,
1828.8,22.86,11.176,
1859.28,23.4696,11.176,
1889.76,24.384,11.176,
1920.24,24.384,11.176,
1950.72,24.384,11.176,
1981.2,24.384,11.176,
2011.68,24.384,11.176,
2042.16,24.384,11.176,
2072.64,24.384,11.176,
2103.12,24.384,11.176,
2133.6,24.384,11.176,
2164.08,24.9936,11.176,
2194.56,25.6032,11.176,
2225.04,26.2128,11.176,
2255.52,27.1272,11.176,
2286,27.7368,11.176,
2316.48,28.6512,11.176,
2346.96,29.2608,11.176,
2377.44,30.1752,11.176,
2407.92,30.7848,11.176,
2438.4,31.3944,11.176,
2468.88,32.004,11.176,
2499.36,32.6136,11.176,
2529.84,33.2232,11.176,
2560.32,33.528,11.176,
2590.8,33.8328,11.176,
2621.28,33.8328,11.176,
2651.76,34.1376,11.176,
2682.24,34.1376,11.176,
2712.72,34.1376,11.176,
2743.2,33.8328,11.176,
2773.68,33.8328,11.176,
2804.16,33.528,11.176,
2834.64,33.2232,11.176,
2865.12,32.9184,11.176,
2895.6,32.3088,11.176,
2926.08,31.6992,11.176,
2956.56,31.0896,11.176,
2987.04,30.48,11.176,
3017.52,29.8704,11.176,
3048,28.956,11.176,
3078.48,27.7368,6.7056,
3108.96,26.5176,6.7056,
3139.44,25.2984,6.7056,
3169.92,24.0792,6.7056,
3200.4,22.86,6.7056,
3230.88,21.6408,6.7056,
3261.36,20.4216,6.7056,
3291.84,19.2024,6.7056,
3322.32,17.9832,6.7056,
3352.8,16.764,6.7056,
3383.28,15.5448,6.7056,
3413.76,14.3256,6.7056,
3444.24,13.1064,6.7056,
3474.72,11.8872,6.7056,
3505.2,10.668,6.7056,
3535.68,9.7536,6.7056,Yield
3566.16,9.4488,11.176,
3596.64,9.4488,11.176,
3627.12,9.4488,11.176,
3657.6,9.4488,11.176,
3688.08,9.4488,11.176,Stop
3718.56,9.4488,11.176,
3749.04,9.4488,11.176,
3779.52,9.4488,11.176,
3810,9.4488,11.176,
3840.48,9.4488,11.176,
3870.96,10.0584,11.176,Signal
3901.44,10.668,11.176,
3931.92,11.2776,11.176,
3962.4,11.8872,11.176,
3992.88,12.4968,11.176,
4023.36,13.1064,11.176,
4053.84,14.0208,11.176,Signal
4084.32,14.6304,11.176,
4114.8,15.5448,11.176,
4145.28,16.1544,11.176,
4175.76,17.0688,11.176,
4206.24,17.6784,11.176,
4236.72,18.288,11.176,
4267.2,18.8976,11.176,Signal
4297.68,19.5072,11.176,
4328.16,20.4216,11.176,
4358.64,21.336,11.176,
4389.12,21.9456,11.176,
4419.6,22.86,11.176,
4450.08,23.4696,11.176,
4480.56,24.384,11.176,Signal
4511.04,25.2984,11.176,
4541.52,26.2128,11.176,
