distance,elevation,speed limit,traffic control
0,6.096,6.7056,
198.12,7.62,6.7056,
396.24,9.144,6.7056,
594.36,6.096,6.7056,
746.76,3.048,4.4704,
762,3.048,4.4704,
771.144,3.048,11.176,
868.68,12.192,11.176,stop
975.36,21.6408,11.176,stop
1051.56,16.1544,11.176,stop
1203.96,20.1168,11.176,stop
1386.84,21.336,11.176,stop
1493.52,18.5928,11.176,stop
1554.48,17.3736,11.176,
1752.6,17.3736,11.176,stop
1889.76,18.288,11.176,
1950.72,19.5072,11.176,stop
2255.52,22.2504,11.176,stop
2407.92,20.7264,11.176,
2712.72,16.764,11.176,stop
2987.04,9.144,11.176,stop
3322.32,6.096,11.176,
